title,author,release_date,length,day,month,year,release_year,length_mins,year_group
Too Good to Be True,Written by: Prajakta Koli,Release Date: 23-03-25,6 hrs and 38 mins,23,03,25,2025,398,2021-2025
One Arranged Murder (Hindi Edition),Written by: Chetan Bhagat,Release Date: 07-03-25,5 hrs and 40 mins,07,03,25,2025,340,2021-2025
The Primal Hunter 11,Written by: Zogarth,Release Date: 05-03-25,23 hrs and 31 mins,05,03,25,2025,1411,2021-2025
The Quick and Easy Way to Effective Speaking,Written by: Dale Carnegie,Release Date: 14-06-18,6 hrs and 39 mins,14,06,18,2018,399,2016-2020
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Written by: Devdutt Pattanaik,Release Date: 26-02-20,6 hrs and 19 mins,26,02,20,2020,379,2016-2020
Art of Seduction,Written by: Robert Greene,Release Date: 01-05-15,22 hrs and 51 mins,01,05,15,2015,1371,2011-2015
Complete Chanakya Neeti,Written by: R.P. Jain,Release Date: 22-07-21,4 hrs,22,07,21,2021,240,2021-2025
You Are the Best Wife,Written by: Ajay K. Pandey,Release Date: 09-01-17,7 hrs and 29 mins,09,01,17,2017,449,2016-2020
Why I Am an Atheist and Other Works,Written by: Bhagat Singh,Release Date: 08-04-20,3 hrs,08,04,20,2020,180,2016-2020
Beautiful Exile,Written by: Catherine Cowles,Release Date: 18-03-25,11 hrs and 43 mins,18,03,25,2025,703,2021-2025
Sunrise on the Reaping,Written by: Suzanne Collins,Release Date: 18-03-25,12 hrs and 48 mins,18,03,25,2025,768,2021-2025
Careless People,Written by: Sarah Wynn-Williams,Release Date: 13-03-25,13 hrs and 16 mins,13,03,25,2025,796,2021-2025
The Art of Influencing People,Written by: Virender Kapoor,Release Date: 03-05-18,38 mins,03,05,18,2018,38,2016-2020
My Experiments with Truth,Written by: Mohandas K. Gandhi,Release Date: 14-10-21,19 hrs and 11 mins,14,10,21,2021,1151,2021-2025
The Next Conversation,Written by: Jefferson Fisher,Release Date: 20-03-25,6 hrs and 35 mins,20,03,25,2025,395,2021-2025
The Blue Umbrella,Written by: Ruskin Bond,Release Date: 01-01-17,51 mins,01,01,17,2017,51,2016-2020
Mahabharat Katha [Mahabharata Story],Written by: Amritlal Nagar,Release Date: 14-10-21,10 hrs and 41 mins,14,10,21,2021,641,2021-2025
"30 Days - Change Your Habits, Change Your Life",Written by: Marc Reklau,Release Date: 15-01-17,4 hrs and 12 mins,15,01,17,2017,252,2016-2020
Twisted Hate,Written by: Ana Huang,Release Date: 19-07-22,15 hrs,19,07,22,2022,900,2021-2025
Ashes of Spring,"Written by: Mieko Kawakami, Hitomi Yoshio - translator",Release Date: 07-03-25,4 hrs and 42 mins,07,03,25,2025,282,2021-2025
Sunderkand (Hindi Edition),Written by: Goswami Tulsidas,Release Date: 25-10-22,3 hrs and 23 mins,25,10,22,2022,203,2021-2025
Offside,Written by: Avery Keelan,Release Date: 16-05-23,17 hrs and 40 mins,16,05,23,2023,1060,2021-2025
The Commuter,"Written by: James Patterson, Aaron Tracy",Release Date: 27-02-25,2 hrs and 30 mins,27,02,25,2025,150,2021-2025
Gaban [Embezzlement],Written by: Munshi Premchand,Release Date: 21-02-22,11 hrs and 36 mins,21,02,22,2022,696,2021-2025
Sahaj Yog,Written by: OSHO,Release Date: 26-05-17,37 hrs and 10 mins,26,05,17,2017,2230,2016-2020
Zapurza Part 1 (Marathi Edition),Written by: Achyut Godbole,Release Date: 05-03-25,18 hrs and 56 mins,05,03,25,2025,1136,2021-2025
"Medical Medium Angels, Demons & Spiritual Tools",Written by: Anthony William,Release Date: 18-03-25,7 hrs and 30 mins,18,03,25,2025,450,2021-2025
Everything Is Tuberculosis,Written by: John Green,Release Date: 20-03-25,5 hrs and 36 mins,20,03,25,2025,336,2021-2025
My Gita,Written by: Devdutt Pattanaik,Release Date: 01-01-17,6 hrs and 15 mins,01,01,17,2017,375,2016-2020
Why I Am a Hindu,Written by: Shashi Tharoor,Release Date: 12-05-23,13 hrs and 2 mins,12,05,23,2023,782,2021-2025
How to Talk to Anyone (Hindi Edition),Written by: Leil Lowndes,Release Date: 15-12-24,10 hrs and 19 mins,15,12,24,2024,619,2021-2025
Valmiki Ramayan (Hindi Edition),Written by: Valmiki,Release Date: 15-06-22,7 hrs and 17 mins,15,06,22,2022,437,2021-2025
41 Anmol Kahaniya [41 Priceless Stories],Written by: Premchand,Release Date: 14-10-21,15 hrs and 28 mins,14,10,21,2021,928,2021-2025
Forge Your Future,Written by: A. P. J. Kalam,Release Date: 01-11-18,5 hrs and 37 mins,01,11,18,2018,337,2016-2020
"The Sandman, Act I (Hindi Edition)","Written by: Neil Gaiman, Dirk Maggs",Release Date: 27-04-22,11 hrs and 3 mins,27,04,22,2022,663,2021-2025
The Sunlit Man: A Cosmere Novel (Dramatized Adaptation),Written by: Brandon Sanderson,Release Date: 10-03-25,10 hrs and 10 mins,10,03,25,2025,610,2021-2025
Pride and Prejudice,Written by: Jane Austen,Release Date: 08-12-15,11 hrs and 35 mins,08,12,15,2015,695,2011-2015
Yupi 65 (UP 65) (Hindi Edition),Written by: Nikhil Sachan,Release Date: 29-10-18,5 hrs and 55 mins,29,10,18,2018,355,2016-2020
Yogi Kathamrit (Ek Yogi Ki Atmakatha) [Autobiography of a Yogi],Written by: Paramahansa Yogananda,Release Date: 27-12-23,20 hrs and 7 mins,27,12,23,2023,1207,2021-2025
The Power of Your Subconscious Mind,Written by: Dr. Joseph Murphy,Release Date: 15-11-16,7 hrs and 57 mins,15,11,16,2016,477,2016-2020
Panchatantra,"Written by: Pandit Vishnu Sharma, G. L. Chandiramani",Release Date: 08-11-18,7 hrs and 31 mins,08,11,18,2018,451,2016-2020
An Era of Darkness,Written by: Shashi Tharoor,Release Date: 26-01-17,12 hrs and 26 mins,26,01,17,2017,746,2016-2020
The Jane Austen Collection,Written by: Jane Austen,Release Date: 05-11-20,45 hrs,05,11,20,2020,2700,2016-2020
The Writer on the Hill,Written by: Ruskin Bond,Release Date: 20-02-17,15 hrs and 20 mins,20,02,17,2017,920,2016-2020
The Favor,Written by: Suzanne Wright,Release Date: 12-01-21,15 hrs and 23 mins,12,01,21,2021,923,2021-2025
Atomic Habits (Hindi Edition),Written by: James Clear,Release Date: 27-12-24,8 hrs and 9 mins,27,12,24,2024,489,2021-2025
Shiv Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,7 hrs and 54 mins,19,07,21,2021,474,2021-2025
Think and Grow Rich,Written by: Napoleon Hill,Release Date: 16-10-07,9 hrs and 35 mins,16,10,07,2007,575,2006-2010
True Crime Case Histories: Massive 15-Book Collection,Written by: Jason Neal,Release Date: 14-12-24,65 hrs and 33 mins,14,12,24,2024,3933,2021-2025
Dealing with Difficult People,Written by: Harvard Business Review,Release Date: 08-09-22,1 hr and 47 mins,08,09,22,2022,107,2021-2025
The Contract,Written by: Melanie Moreland,Release Date: 11-10-16,8 hrs and 43 mins,11,10,16,2016,523,2016-2020
The Tell,Written by: Amy Griffin,Release Date: 13-03-25,7 hrs and 40 mins,13,03,25,2025,460,2021-2025
The Ratcatcher,Written by: Anthony Khaseria,Release Date: 20-02-25,5 hrs and 18 mins,20,02,25,2025,318,2021-2025
Who Is Government?,Written by: Michael Lewis,Release Date: 18-03-25,6 hrs and 42 mins,18,03,25,2025,402,2021-2025
Sapiens (Malayalam Edition),"Written by: Yuval Noah Harari, Senu Kurian George",Release Date: 26-02-25,21 hrs and 37 mins,26,02,25,2025,1297,2021-2025
Crave,Written by: Tracy Wolff,Release Date: 07-04-20,14 hrs and 56 mins,07,04,20,2020,896,2016-2020
How to Stop Worrying and Start Living,Written by: Dale Carnegie,Release Date: 11-07-18,9 hrs and 42 mins,11,07,18,2018,582,2016-2020
Meri Gita,Written by: Devdutt Pattanaik,Release Date: 04-10-17,7 hrs and 39 mins,04,10,17,2017,459,2016-2020
M T Yude Kathakal (Malayalam Edition),Written by: M.T. Vasudevan Nair,Release Date: 04-03-25,20 hrs and 53 mins,04,03,25,2025,1253,2021-2025
Life Is What Matters,Written by: Alka Dixit,Release Date: 05-10-18,4 hrs and 41 mins,05,10,18,2018,281,2016-2020
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],Written by: George S. Clason,Release Date: 24-10-22,4 hrs and 46 mins,24,10,22,2022,286,2021-2025
The Diary of a Young Girl [Hindi],Written by: Anne Frank,Release Date: 23-07-19,11 hrs and 41 mins,23,07,19,2019,701,2016-2020
Call Me Maybe,Written by: Cara Bastone,Release Date: 20-10-20,5 hrs and 55 mins,20,10,20,2020,355,2016-2020
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Written by: Rajender Pandya,Release Date: 19-07-21,6 hrs,19,07,21,2021,360,2021-2025
Philosophia Ultima,Written by: Osho,Release Date: 24-08-17,19 hrs and 43 mins,24,08,17,2017,1183,2016-2020
The Woman in White,Written by: Wilkie Collins,Release Date: 27-08-10,24 hrs and 37 mins,27,08,10,2010,1477,2006-2010
Nirvana: the Last Nightmare,Written by: Osho,Release Date: 01-03-16,15 hrs and 52 mins,01,03,16,2016,952,2016-2020
Data & AI Imperative,Written by: Lillian Pierson,Release Date: 11-03-25,10 hrs and 50 mins,11,03,25,2025,650,2021-2025
How to Win Friends and Influence People (Marathi Edition),Written by: Dale Carnegie,Release Date: 19-09-23,9 hrs and 55 mins,19,09,23,2023,595,2021-2025
A Fistful of Love,Written by: Om Swami,Release Date: 05-08-19,6 hrs and 51 mins,05,08,19,2019,411,2016-2020
Dream With Your Eyes Open,Written by: Ronnie Screwvala,Release Date: 05-09-19,7 hrs and 19 mins,05,09,19,2019,439,2016-2020
Autobiography of a Yogi (Hindi Edition),Written by: Paramahansa Yogananda,Release Date: 14-10-21,23 hrs and 46 mins,14,10,21,2021,1426,2021-2025
Her Last Wish,Written by: Ajay K. Pandey,Release Date: 06-07-17,6 hrs and 54 mins,06,07,17,2017,414,2016-2020
A Kingdom of Flesh and Fire (Part 2 of 2) (Dramatized Adaptation),Written by: Jennifer L. Armentrout,Release Date: 07-03-25,9 hrs and 16 mins,07,03,25,2025,556,2021-2025
How Not to Invest,Written by: Barry Ritholtz,Release Date: 19-03-25,13 hrs and 47 mins,19,03,25,2025,827,2021-2025
The Bookworm Crush,Written by: Lisa Brown Roberts,Release Date: 14-01-20,10 hrs and 34 mins,14,01,20,2020,634,2016-2020
Anathema,Written by: Keri Lake,Release Date: 18-03-25,20 hrs and 14 mins,18,03,25,2025,1214,2021-2025
Morning Star,Written by: Pierce Brown,Release Date: 09-02-16,21 hrs and 50 mins,09,02,16,2016,1310,2016-2020
The Mastery Manual (Hindi),Written by: Robin Sharma,Release Date: 05-02-18,4 hrs and 51 mins,05,02,18,2018,291,2016-2020
Art of Stress Management (Rupa Quick Reads),Written by: Sarvesh Gulati,Release Date: 06-11-17,1 hr and 16 mins,06,11,17,2017,76,2016-2020
Panchatantra (Hindi Edition),Written by: Vishnu Sharma,Release Date: 29-06-22,5 hrs and 41 mins,29,06,22,2022,341,2021-2025
Buddha's Brain,"Written by: Rick Hanson PhD, Daniel J. Siegel MD - foreword, Richard Mendius MD - contributor, Jack Kornfield - preface",Release Date: 04-03-25,8 hrs and 45 mins,04,03,25,2025,525,2021-2025
Sherlock Holmes: The Definitive Collection,"Written by: Stephen Fry - introductions, Arthur Conan Doyle",Release Date: 27-02-17,71 hrs and 57 mins,27,02,17,2017,4317,2016-2020
An Elderly Lady Is Up to No Good,"Written by: Helene Tursten, Marlaine Delargy - Translated by",Release Date: 11-06-19,3 hrs and 12 mins,11,06,19,2019,192,2016-2020
Tell Me Lies,Written by: J. P. Pomare,Release Date: 05-03-20,6 hrs and 20 mins,05,03,20,2020,380,2016-2020
A Girl to Remember,Written by: Ajay K. Pandey,Release Date: 02-05-19,6 hrs and 2 mins,02,05,19,2019,362,2016-2020
The Moneychangers,Written by: Arthur Hailey,Release Date: 07-04-20,18 hrs and 45 mins,07,04,20,2020,1125,2016-2020
HBR's 10 Must Reads on Mental Toughness,"Written by: Harvard Business Review, Martin E. P. Seligman, Tony Schwartz, Warren G. Bennis, Robert J. Thomas",Release Date: 24-12-19,4 hrs and 30 mins,24,12,19,2019,270,2016-2020
How to Say It: Words That Make a Difference,"Written by: Allison Friederichs Atkison, The Great Courses",Release Date: 14-07-22,4 hrs and 44 mins,14,07,22,2022,284,2021-2025
Shroud,Written by: Adrian Tchaikovsky,Release Date: 27-02-25,14 hrs and 36 mins,27,02,25,2025,876,2021-2025
The Instant AI Agency,Written by: Dan Wardrope,Release Date: 30-08-24,3 hrs and 7 mins,30,08,24,2024,187,2021-2025
The Magic of Self-Respect,Written by: Osho,Release Date: 22-08-16,29 hrs and 16 mins,22,08,16,2016,1756,2016-2020
Garuda Puran,Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs and 8 mins,19,07,21,2021,368,2021-2025
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Written by: Nilotpal Mrinal,Release Date: 03-11-20,6 hrs and 13 mins,03,11,20,2020,373,2016-2020
Limitless (Hindi Edition),Written by: Jim Kwik,Release Date: 22-11-24,12 hrs and 7 mins,22,11,24,2024,727,2021-2025
Ramayana (Hindi Edition),Written by: Anand Neelakantan,Release Date: 15-04-24,15 hrs and 15 mins,15,04,24,2024,915,2021-2025
Prem Panth Aiso Kathin,Written by: OSHO,Release Date: 26-05-17,27 hrs and 21 mins,26,05,17,2017,1641,2016-2020
Ichigo Ichie (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 07-12-22,4 hrs and 9 mins,07,12,22,2022,249,2021-2025
50 Psychology Classics,Written by: Tom Butler-Bowdon,Release Date: 07-02-07,12 hrs and 24 mins,07,02,07,2007,744,2006-2010
Satya Ke Sath Mere Prayog [My Experiment with Truth],Written by: M. K. Gandhi,Release Date: 25-06-19,22 hrs and 54 mins,25,06,19,2019,1374,2016-2020
The Girl in Room 105 (Hindi Edition),Written by: Chetan Bhagat,Release Date: 18-04-24,5 hrs and 19 mins,18,04,24,2024,319,2021-2025
Flashback,Written by: Shannon Messenger,Release Date: 11-12-18,23 hrs and 9 mins,11,12,18,2018,1389,2016-2020
Kalki Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs and 10 mins,19,07,21,2021,370,2021-2025
How to Train a Wild Elephant & Other Adventures in Mindfulness,Written by: Jan Chozen Bays MD,Release Date: 06-01-15,6 hrs and 6 mins,06,01,15,2015,366,2011-2015
Kautilya Arthshastra (Hindi Edition),Written by: Chanakya,Release Date: 26-02-20,6 hrs,26,02,20,2020,360,2016-2020
Dark Russian Angel,Written by: Odette Stone,Release Date: 29-09-20,10 hrs and 13 mins,29,09,20,2020,613,2016-2020
Murder in Bermuda,"Written by: James Patterson, Aaron Tracy, Thaddeus McCants",Release Date: 24-05-23,4 hrs,24,05,23,2023,240,2021-2025
Bad Boss,Written by: Stella Rhys,Release Date: 27-02-18,8 hrs and 43 mins,27,02,18,2018,523,2016-2020
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],Written by: David Schwartz,Release Date: 09-01-19,11 hrs and 31 mins,09,01,19,2019,691,2016-2020
Kyon Se Shuruwat Karein [Start with Why],Written by: Simon Sinek,Release Date: 14-08-20,10 hrs and 52 mins,14,08,20,2020,652,2016-2020
Do Not Disturb,Written by: Freida McFadden,Release Date: 08-03-22,7 hrs and 53 mins,08,03,22,2022,473,2021-2025
Origin Story,Written by: David Christian,Release Date: 22-05-18,12 hrs and 23 mins,22,05,18,2018,743,2016-2020
The Heart Sutra,Written by: Osho,Release Date: 01-03-16,16 hrs and 24 mins,01,03,16,2016,984,2016-2020
"Master Your Time, Master Your Life",Written by: Brian Tracy,Release Date: 11-10-16,4 hrs and 2 mins,11,10,16,2016,242,2016-2020
Shameless,Written by: Gina L. Maxwell,Release Date: 18-01-22,5 hrs and 12 mins,18,01,22,2022,312,2021-2025
Hotel,Written by: Arthur Hailey,Release Date: 17-03-20,15 hrs and 17 mins,17,03,20,2020,917,2016-2020
Undercover Sex Signals,Written by: Leil Lowndes,Release Date: 05-08-15,5 hrs and 29 mins,05,08,15,2015,329,2011-2015
The Power of Habit (Hindi Edition),Written by: Charles Duhigg,Release Date: 09-11-21,13 hrs and 23 mins,09,11,21,2021,803,2021-2025
Na Kehne Ki Kala (Hindi Edition),Written by: Damon Zahariades,Release Date: 23-10-24,3 hrs and 22 mins,23,10,24,2024,202,2021-2025
Habits for Happiness,"Written by: Dr Tim Sharp, Tathagata Mandal - translator",Release Date: 02-01-22,4 hrs and 1 min,02,01,22,2022,241,2021-2025
The 7 Principles of Public Speaking,Written by: Richard Zeoli,Release Date: 01-02-13,5 hrs,01,02,13,2013,300,2011-2015
The House of Strange Stories,Written by: Ruskin Bond,Release Date: 21-05-24,6 hrs and 27 mins,21,05,24,2024,387,2021-2025
Dungeon Heroes Omnibus: Books 1-6,"Written by: Shane Hammond, Marcus Sloss",Release Date: 27-02-25,73 hrs and 51 mins,27,02,25,2025,4431,2021-2025
What Is Life?,"Written by: Erwin Schrödinger, Roger Penrose - foreword",Release Date: 22-01-19,6 hrs and 8 mins,22,01,19,2019,368,2016-2020
Rogue Protocol,Written by: Martha Wells,Release Date: 07-08-18,3 hrs and 46 mins,07,08,18,2018,226,2016-2020
The Three Musketeers,Written by: Alexandre Dumas,Release Date: 03-03-09,23 hrs and 32 mins,03,03,09,2009,1412,2006-2010
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Written by: Satyajit Rai,Release Date: 24-05-19,8 hrs and 12 mins,24,05,19,2019,492,2016-2020
Dhyan Yoga ध्यान योग: अंतरात्मा से मिलन [Dhyan Yoga: Union with the Soul],Written by: Om Swami,Release Date: 06-05-24,6 hrs and 21 mins,06,05,24,2024,381,2021-2025
The Dream Hotel,Written by: Laila Lalami,Release Date: 04-03-25,11 hrs and 42 mins,04,03,25,2025,702,2021-2025
"Lose Fat, Get Fittr",Written by: Jitendra Chouksey,Release Date: 01-03-23,6 hrs and 50 mins,01,03,23,2023,410,2021-2025
Heaven's River,Written by: Dennis E. Taylor,Release Date: 24-09-20,16 hrs and 57 mins,24,09,20,2020,1017,2016-2020
"The Horse, the Wheel, and Language",Written by: David W. Anthony,Release Date: 11-09-18,18 hrs and 25 mins,11,09,18,2018,1105,2016-2020
A Tale of Two Cities,Written by: Charles Dickens,Release Date: 09-12-19,14 hrs and 13 mins,09,12,19,2019,853,2016-2020
The Not to Do List,Written by: Rolf Dobelli,Release Date: 27-02-25,4 hrs and 10 mins,27,02,25,2025,250,2021-2025
Jadugarni [Sorceress],Written by: Surender Mohan Pathak,Release Date: 23-05-24,8 hrs and 24 mins,23,05,24,2024,504,2021-2025
Breath By Breath,"Written by: Larry Rosenberg, David Guy, Jon Kabat-Zinn - foreward",Release Date: 09-12-14,7 hrs and 33 mins,09,12,14,2014,453,2011-2015
The Healing Power of Mind,"Written by: Tulku Thondup, Daniel Goleman - foreword",Release Date: 09-12-14,6 hrs and 40 mins,09,12,14,2014,400,2011-2015
"Change Your Thinking, Change Your Life",Written by: Brian Tracy,Release Date: 30-05-14,8 hrs and 57 mins,30,05,14,2014,537,2011-2015
Sapiens,Written by: Yuval Noah Harari,Release Date: 13-03-19,21 hrs and 42 mins,13,03,19,2019,1302,2016-2020
Ambedkar's India,Written by: B.R. Ambedkar,Release Date: 04-04-22,4 hrs and 32 mins,04,04,22,2022,272,2021-2025
Time Management (Hindi Edition),Written by: Sudhir Dixit,Release Date: 09-08-19,2 hrs and 34 mins,09,08,19,2019,154,2016-2020
You Killed Me First,Written by: John Marrs,Release Date: 04-03-25,9 hrs and 44 mins,04,03,25,2025,584,2021-2025
Es Dhammo Sanantano Vol. 1,Written by: OSHO,Release Date: 26-05-17,13 hrs and 54 mins,26,05,17,2017,834,2016-2020
Jin Sutra Vol.1,Written by: OSHO,Release Date: 26-05-17,16 hrs and 57 mins,26,05,17,2017,1017,2016-2020
The Secret,Written by: Osho,Release Date: 10-02-22,36 hrs and 55 mins,10,02,22,2022,2215,2021-2025
How to Achieve Financial Independence and Retire Early,"Written by: JD Roth, The Great Courses",Release Date: 16-02-21,4 hrs and 39 mins,16,02,21,2021,279,2021-2025
Vivekanand [Vivekananda],Written by: Rajendra Mohan Bhatnagar,Release Date: 14-10-21,12 hrs and 50 mins,14,10,21,2021,770,2021-2025
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Written by: Antony Jay, Jonathan Lynn",Release Date: 28-07-14,18 hrs and 28 mins,28,07,14,2014,1108,2011-2015
Walking in Zen Sitting in Zen,Written by: OSHO,Release Date: 24-02-22,26 hrs and 35 mins,24,02,22,2022,1595,2021-2025
"The Tantra Experience (The Tantra Vision, Vol. 1)",Written by: Osho,Release Date: 18-03-16,16 hrs and 21 mins,18,03,16,2016,981,2016-2020
Million Dollar Habits,Written by: Brian Tracy,Release Date: 08-09-20,8 hrs and 3 mins,08,09,20,2020,483,2016-2020
The Gopi Diaries: Finding Love,Written by: Sudha Murthy,Release Date: 05-02-25,51 mins,05,02,25,2025,51,2021-2025
Animal Farm (Hindi Edition),Written by: George Orwell,Release Date: 26-10-21,3 hrs and 54 mins,26,10,21,2021,234,2021-2025
"If You're Not First, You're Last",Written by: Grant Cardone,Release Date: 27-02-12,7 hrs and 47 mins,27,02,12,2012,467,2011-2015
Vivekanand Ki Atmakatha (Hindi Edition),Written by: Sankar,Release Date: 08-11-24,17 hrs and 6 mins,08,11,24,2024,1026,2021-2025
A Guide to Stress Free Living,Written by: Om Swami,Release Date: 06-05-24,3 hrs and 52 mins,06,05,24,2024,232,2021-2025
Collapse,Written by: Vladislav M. Zubok,Release Date: 30-11-21,23 hrs and 50 mins,30,11,21,2021,1430,2021-2025
The Krishna Key,Written by: Ashwin Sanghi,Release Date: 01-01-17,12 hrs and 24 mins,01,01,17,2017,744,2016-2020
Sweet Bean Paste,"Written by: Durian Sukegawa, Alison Watts - translator",Release Date: 07-06-22,5 hrs and 4 mins,07,06,22,2022,304,2021-2025
Krishna 360 Degrees (Hindi Edition),Written by: Devdutt Pattanaik,Release Date: 15-04-24,4 hrs and 27 mins,15,04,24,2024,267,2021-2025
Anahad Mein Bisram,Written by: OSHO,Release Date: 26-05-17,15 hrs and 45 mins,26,05,17,2017,945,2016-2020
The Marriage Bargain,Written by: Jennifer Probst,Release Date: 31-07-12,6 hrs and 14 mins,31,07,12,2012,374,2011-2015
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Written by: Amish Tripathi,Release Date: 29-09-22,12 hrs and 13 mins,29,09,22,2022,733,2021-2025
Artificial Condition,Written by: Martha Wells,Release Date: 08-05-18,3 hrs and 21 mins,08,05,18,2018,201,2016-2020
Dharmayoddha Kalki: Avatar of Vishnu,Written by: Kevin Missal,Release Date: 14-10-21,12 hrs and 34 mins,14,10,21,2021,754,2021-2025
Absolute Tao,Written by: OSHO,Release Date: 08-12-15,15 hrs and 15 mins,08,12,15,2015,915,2011-2015
Finding Flow,Written by: Mihaly Csikszentmihalyi,Release Date: 07-12-15,5 hrs and 6 mins,07,12,15,2015,306,2011-2015
Complete Book of Yoga,Written by: Swami Vivekananda,Release Date: 26-10-22,28 hrs and 16 mins,26,10,22,2022,1696,2021-2025
Dhyan Ki Bhumika (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 33 mins,01,03,16,2016,93,2016-2020
Gumnaam Hai Koi (Hindi Edition),Written by: Bharat Pandey,Release Date: 02-12-24,35 hrs and 47 mins,02,12,24,2024,2147,2021-2025
Rich Dad Poor Dad (Hindi Edition),Written by: Robert Kiyosaki,Release Date: 19-12-24,11 hrs and 5 mins,19,12,24,2024,665,2021-2025
Crime and Punishment,Written by: Fyodor Dostoyevsky,Release Date: 21-09-20,22 hrs and 27 mins,21,09,20,2020,1347,2016-2020
Oversubscribed,Written by: Daniel Priestley,Release Date: 09-03-20,6 hrs and 33 mins,09,03,20,2020,393,2016-2020
Shakespeare Ki Kahaniyaan [Shakespeare's Stories],Written by: William Shakespeare,Release Date: 20-01-22,4 hrs and 13 mins,20,01,22,2022,253,2021-2025
Narmadayan (Marathi Edition),Written by: Uday Nagnath,Release Date: 09-03-23,8 hrs and 7 mins,09,03,23,2023,487,2021-2025
Vayam Raksham (Hindi Edition),Written by: Acharya Chatursen,Release Date: 14-10-21,24 hrs and 27 mins,14,10,21,2021,1467,2021-2025
Lapoojhanna (Hindi Edition),Written by: Ashok Pande,Release Date: 07-02-24,9 hrs and 35 mins,07,02,24,2024,575,2021-2025
The Psychology of Money (Marathi Edition),Written by: Morgan Housel,Release Date: 12-09-23,8 hrs and 50 mins,12,09,23,2023,530,2021-2025
Kya Khoya Kya Paya [What Was Lost What Was Found],Written by: Atal Bihari Vajpayee,Release Date: 14-10-21,2 hrs and 2 mins,14,10,21,2021,122,2021-2025
The Sialkot Saga,Written by: Ashwin Sanghi,Release Date: 01-01-17,16 hrs and 56 mins,01,01,17,2017,1016,2016-2020
Pariyon Ki Kahaniya [Fairy Tales],Written by: Jacob Grimm,Release Date: 08-12-21,2 hrs and 15 mins,08,12,21,2021,135,2021-2025
1991,Written by: Sanjaya Baru,Release Date: 11-07-17,5 hrs and 25 mins,11,07,17,2017,325,2016-2020
White Nights,"Written by: Fyodor Dostoyevsky, Ronald Meyer - translator",Release Date: 06-03-25,3 hrs and 3 mins,06,03,25,2025,183,2021-2025
Him,Written by: JD Kirk,Release Date: 10-02-25,9 hrs and 28 mins,10,02,25,2025,568,2021-2025
Raja Muthirai: Part 1 (Tamil Edition),Written by: Sandilyan,Release Date: 29-01-25,13 hrs and 39 mins,29,01,25,2025,819,2021-2025
The Stand-In,Written by: Lily Chu,Release Date: 15-07-21,10 hrs and 55 mins,15,07,21,2021,655,2021-2025
"Bulls, Bears and Other Beasts",Written by: Santosh Nair,Release Date: 18-01-22,11 hrs and 8 mins,18,01,22,2022,668,2021-2025
Ninety Days,Written by: Anirudhya Mitra,Release Date: 13-07-22,9 hrs and 32 mins,13,07,22,2022,572,2021-2025
Timeless Wisdom on Finance,Written by: Anil Lamba,Release Date: 05-02-25,1 hr and 49 mins,05,02,25,2025,109,2021-2025
The Power of Your Subconscious Mind (Marathi Edition),Written by: Joseph Murphy,Release Date: 19-10-23,9 hrs and 40 mins,19,10,23,2023,580,2021-2025
Ravana 360 Degrees (Hindi Edition),Written by: Devdutt Pattanaik,Release Date: 15-04-24,5 hrs and 10 mins,15,04,24,2024,310,2021-2025
Ikigai (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 14-12-22,4 hrs and 42 mins,14,12,22,2022,282,2021-2025
Consider Me,Written by: Becka Mack,Release Date: 13-09-22,20 hrs and 42 mins,13,09,22,2022,1242,2021-2025
The Art of War (Marathi Edition),Written by: Sun Tzu,Release Date: 01-12-24,6 hrs and 1 min,01,12,24,2024,361,2021-2025
The Night Manager,Written by: John le Carré,Release Date: 30-01-25,19 hrs,30,01,25,2025,1140,2021-2025
Turbulence,Written by: E. J. Noyes,Release Date: 02-11-19,9 hrs and 10 mins,02,11,19,2019,550,2016-2020
Swayam Ka Utterdayitva (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 23 mins,01,03,16,2016,83,2016-2020
A Touch of Darkness,Written by: Scarlett St. Clair,Release Date: 30-06-20,11 hrs and 6 mins,30,06,20,2020,666,2016-2020
The Ikigai Journey (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 14-12-22,6 hrs and 39 mins,14,12,22,2022,399,2021-2025
The Arts of Seduction,Written by: Seema Anand,Release Date: 10-12-18,7 hrs and 27 mins,10,12,18,2018,447,2016-2020
Think and Grow Rich (Marathi Edition),Written by: Napoleon Hill,Release Date: 26-09-23,8 hrs and 11 mins,26,09,23,2023,491,2021-2025
